{PRICE;CARD_NAME;MARKET_HASH_NAME;LAST_UPDATED}
{0.08;Sutter's Mill (Trading Card);609100-Sutter%27s%20Mill%20%28Trading%20Card%29;2021-07-31}

{0.07;The Father;460940-The%20Father;2021-07-31}

{0.06;Abu Ali;490690-Abu%20Ali;2021-07-31}

{0.05;All-Skeleton Band;352220-All-Skeleton%20Band;2021-07-31}

{0.07;Arisa;520520-Arisa;2021-07-31}

{0.05;Bed;396530-Bed;2021-07-31}

{0.08;Bedroom;576440-Bedroom;2021-07-31}

{0.06;Buffalo Will;493180-Buffalo%20Will;2021-07-31}

{0.07;Cannon;614660-Cannon;2021-07-31}

{0.06;Cat;587790-Cat;2021-07-31}

{0.06;Coffee break;502100-Coffee%20break;2021-07-31}

{0.07;Cop;588240-Cop;2021-07-31}

{0.05;Derelict Farmhouse House;258950-Derelict%20Farmhouse%20House;2021-07-31}

{0.04;Doubts;576730-Doubts;2021-07-31}

{0.05;Dwarven Warrior;454870-Dwarven%20Warrior;2021-07-31}

{0.05;Eclipse;237590-Eclipse;2021-07-31}

{0.04;Egypt;586430-Egypt;2021-07-31}

{0.04;Eye of Horror;501030-Eye%20of%20Horror;2021-07-31}

{0.07;Falco Frisk;588240-Falco%20Frisk;2021-07-31}

{0.06;Fly;576540-Fly;2021-07-31}

{0.05;Foresting Tower;342970-Foresting%20Tower;2021-07-31}

{0.18;Hank gay;568860-Hank%20gay;2021-07-31}

{0.06;Itchy Billy;612250-Itchy%20Billy;2021-07-31}

{0.09;Let's eat!;620310-Let%27s%20eat%21;2021-07-31}

{0.05;Magnetic Pulse;449120-Magnetic%20Pulse;2021-07-31}

{0.06;Make American Burger Great Again!;504310-Make%20American%20Burger%20Great%20Again%21;2021-07-31}

{0.06;Mary;610120-Mary;2021-07-31}

{0.05;Masahiro;520520-Masahiro;2021-07-31}

{0.05;Mastermind;574690-Mastermind;2021-07-01}

{0.07;Mining Drill;351720-Mining%20Drill;2021-07-31}

{0.05;Mortar;614660-Mortar;2021-07-31}

{0.06;Mystic;627670-Mystic;2021-07-31}

{0.07;Neutral Forces - Small Saucer;312960-Neutral%20Forces%20-%20Small%20Saucer;2021-07-31}

{0.08;Niamber;616030-Niamber;2021-07-31}

{0.05;Old family;610120-Old%20family;2021-07-31}

{0.06;Oni;399000-Oni;2021-07-31}

{0.05;Played Level One!;334300-Played%20Level%20One%21;2021-07-31}

{0.06;Preacher;449530-Preacher;2021-07-31}

{0.07;Puzzle Planet;390620-Puzzle%20Planet;2021-07-31}

{0.04;R'jak;449300-R%27jak;2021-07-31}

{0.06;RedKnight;422650-RedKnight;2021-07-31}

{0.05;River Huntress;544140-River%20Huntress;2021-07-31}

{0.05;Robin Hood;388960-Robin%20Hood;2021-07-31}

{0.05;Rock Candy;581980-Rock%20Candy;2021-07-31}

{0.05;San Diego, Four Day Pass;592200-San%20Diego%2C%20Four%20Day%20Pass;2021-07-31}

{0.07;Sand clock;462400-Sand%20clock;2021-07-31}

{0.11;Shadow;576730-Shadow;2021-07-31}

{0.07;Skull;396530-Skull;2021-07-31}

{0.05;Squid;627670-Squid;2021-07-31}

{0.07;St Peter Basilica;452320-St%20Peter%20Basilica;2021-07-31}

{0.07;Television;396530-Television;2021-07-31}

{0.04;The Big Boss;431290-The%20Big%20Boss;2021-07-31}

{0.06;The Ice Dragon;384940-The%20Ice%20Dragon;2021-07-31}

{0.05;The Leadersquad;488330-The%20Leadersquad;2021-07-31}

{0.07;The Mechanical Beast;384940-The%20Mechanical%20Beast;2021-07-31}

{0.07;The Rock Monster;384940-The%20Rock%20Monster;2021-08-01}

{0.1;The Room;499340-The%20Room;2021-07-31}

{0.12;The Sewers;398830-The%20Sewers;2021-07-31}

{0.05;Van;595320-Van;2021-07-31}

{0.13;Wall Block;507520-Wall%20Block;2021-07-31}

{0.05;Zombie Guard (Trading Card);594160-Zombie%20Guard%20%28Trading%20Card%29;2021-07-31}

{0.05;Accurate_Crossbow;575770-Accurate_Crossbow;2021-07-31}

{0.04;Adrian Wornoff;416370-Adrian%20Wornoff;2021-07-31}

{0.05;Airplane;338120-Airplane;2021-07-31}

{0.03;Alien Overlord;595780-Alien%20Overlord;2021-07-31}

{0.04;Anastasia;530020-Anastasia;2021-07-31}

{0.04;Andy Duck;612250-Andy%20Duck;2021-07-31}

{0.04;Anku;391660-Anku;2021-07-31}

{0.04;AntiKermit;585750-AntiKermit;2021-07-31}

{0.04;Aphrodite (Trading Card);400180-Aphrodite%20%28Trading%20Card%29;2021-07-31}

{0.04;Apparition - Bat;416370-Apparition%20-%20Bat;2021-07-31}

{0.04;Apparition - Mummy;416370-Apparition%20-%20Mummy;2021-07-31}

{0.04;Apparition - Werewolf;416370-Apparition%20-%20Werewolf;2021-07-31}

{0.05;April;587390-April;2021-07-31}

{0.04;Aptenodytes patagonicus;344230-Aptenodytes%20patagonicus;2021-07-31}

{0.05;Archangel Michael;542240-Archangel%20Michael;2021-07-31}

{0.05;Attack Helicopter;495570-Attack%20Helicopter;2021-07-31}

{0.08;Awake;507520-Awake;2021-07-31}

{0.06;Axe;576390-Axe;2021-07-31}

{0.04;Axle;574690-Axle;2021-07-31}

{0.04;AYATO (Trading Card);259510-AYATO%20%28Trading%20Card%29;2021-07-31}

{0.04;Azure Demon;290650-Azure%20Demon;2021-07-31}

{0.05;Bad dreams;348870-Bad%20dreams;2021-07-31}

{0.07;Barbarian Berserkers;508300-Barbarian%20Berserkers;2021-07-31}

{0.05;Barn;342970-Barn;2021-07-31}

{0.04;Battle Janet (Concept);592200-Battle%20Janet%20%28Concept%29;2021-07-31}

{0.04;Battle Janet (No Detail);592200-Battle%20Janet%20%28No%20Detail%29;2021-07-31}

{0.05;Bear;576390-Bear;2021-07-31}

{0.04;Bee;587790-Bee;2021-07-31}

{0.04;Bentele;581200-Bentele;2021-07-31}

{0.05;Beta;575630-Beta;2021-07-31}

{0.04;Between Worlds;290650-Between%20Worlds;2021-07-31}

{0.04;Bill Horner;612250-Bill%20Horner;2021-07-31}

{0.04;Biohazard;548480-Biohazard;2021-07-31}

{0.04;Bitsy;371390-Bitsy;2021-07-31}

{0.04;Black hawk card;501480-Black%20hawk%20card;2021-07-31}

{0.04;Black Station;461880-Black%20Station;2021-07-31}

{0.04;Blockade;356420-Blockade;2021-07-31}

{0.04;Blocks;461880-Blocks;2021-07-01}

{0.04;Blocks;461880-Blocks;2021-07-31}

{0.04;Bloody pages of the book;431260-Bloody%20pages%20of%20the%20book;2021-07-31}

{0.04;BOLTCraft;312640-BOLTCraft;2021-07-31}

{0.05;Bomberman;585360-Bomberman;2021-07-31}

{0.04;Boost Charge;504460-Boost%20Charge;2021-07-31}

{0.04;Brave hero;450190-Brave%20hero;2021-07-31}

{0.04;Brella (Trading Card);385080-Brella%20%28Trading%20Card%29;2021-07-31}

{0.05;Bridge;468570-Bridge;2021-07-31}

{0.05;Brimstone Soldier;281220-Brimstone%20Soldier;2021-07-31}

{0.05;Broadcast;468570-Broadcast;2021-07-31}

{0.05;Brooding Warrior Drinking Game;592200-Brooding%20Warrior%20Drinking%20Game;2021-07-31}

{0.04;Brute;385080-Brute;2021-08-01}

{0.05;BUPBUP;259510-BUPBUP;2021-08-01}

{0.05;Burning Forest;251230-Burning%20Forest;2021-08-01}

{0.04;Buzzsaw;385080-Buzzsaw;2021-08-01}

{0.05;Byron;363510-Byron;2021-08-01}

{0.04;Cabbage Ducks;352220-Cabbage%20Ducks;2021-08-01}

{0.05;Cannon !;417480-Cannon%20%21;2021-08-01}

{0.05;Cannoner;636370-Cannoner;2021-08-01}

{0.05;Captain;636370-Captain;2021-08-01}

{0.05;Caravan Traveler;610310-Caravan%20Traveler;2021-08-01}

{0.04;Cargo;627670-Cargo;2021-08-01}

{0.04;Carissia (Trading Card);485390-Carissia%20%28Trading%20Card%29;2021-08-01}

{0.04;Carissia Art;485390-Carissia%20Art;2021-08-01}

{0.05;Carrier ship;411120-Carrier%20ship;2021-08-01}

{0.04;Catapult;333660-Catapult;2021-08-01}

{0.05;Caveman;460190-Caveman;2021-08-01}

{0.05;CGA Keen;356200-CGA%20Keen;2021-08-01}

{0.04;Chad;486150-Chad;2021-08-01}

{0.04;Chaos;461880-Chaos;2021-08-01}

{0.04;Characters;270570-Characters;2021-08-01}

{0.04;Chasing;576130-Chasing;2021-08-01}

{0.04;Chick Hunter Elite;612250-Chick%20Hunter%20Elite;2021-08-01}

{0.05;Chilling Mom;287200-Chilling%20Mom;2021-08-01}

{0.04;Chris McDougal;542200-Chris%20McDougal;2021-08-01}

{0.04;City government card;463670-City%20government%20card;2021-08-01}

{0.04;Civilian blue;568860-Civilian%20blue;2021-08-01}

{0.04;Classic Map;614030-Classic%20Map;2021-08-01}

{0.05;Classics;583490-Classics;2021-08-01}

{0.05;Clover;462400-Clover;2021-08-01}

{0.04;Clown;636370-Clown;2021-07-01}

{0.05;Clown;636370-Clown;2021-08-01}

{0.04;Col. Aloysius Emenegger;374030-Col.%20Aloysius%20Emenegger;2021-08-01}

{0.05;Cold War Warrior Concepts;336730-Cold%20War%20Warrior%20Concepts;2021-08-01}

{0.05;Collapse, the Intrepid Hunter;521330-Collapse%2C%20the%20Intrepid%20Hunter;2021-08-01}

{0.04;Collect All;362610-Collect%20All;2021-08-01}

{0.04;Commando;627950-Commando;2021-08-01}

{0.05;Composure;314070-Composure;2021-08-01}

{0.04;Computer;595780-Computer;2021-08-01}

{0.05;CONCEPT X;389670-CONCEPT%20X;2021-08-01}

{0.04;Cord McCarran;374030-Cord%20McCarran;2021-08-01}

{0.04;Corrientes Avenue;270570-Corrientes%20Avenue;2021-08-01}

{0.05;Courier;458630-Courier;2021-08-01}

{0.04;Courtyard (Trading Card);622170-Courtyard%20%28Trading%20Card%29;2021-08-01}

{0.04;Crash Landing (Trading Card);576130-Crash%20Landing%20%28Trading%20Card%29;2021-08-01}

{0.04;Crazy Card;629380-Crazy%20Card;2021-08-01}

{0.04;Creative;583490-Creative;2021-08-01}

{0.05;Crippler;381220-Crippler;2021-08-01}

{0.05;Critical Urgency;244890-Critical%20Urgency;2021-08-01}

{0.04;Crius;459410-Crius;2021-08-01}

{0.04;Crocodile;587790-Crocodile;2021-08-01}

{0.05;Crypt;513340-Crypt;2021-08-01}

{0.05;Cursed Mercenary;454870-Cursed%20Mercenary;2021-08-01}

{0.04;Cutlass (Trading Card);385080-Cutlass%20%28Trading%20Card%29;2021-08-01}

{0.04;Cyber City View;454690-Cyber%20City%20View;2021-08-01}

{0.04;Damaged card;501480-Damaged%20card;2021-08-01}

{0.05;Dangerforce, Skull Ball Champion;521330-Dangerforce%2C%20Skull%20Ball%20Champion;2021-08-01}

{0.04;Dango;643880-Dango;2021-08-01}

{0.05;Darius;588240-Darius;2021-08-01}

{0.05;Dark elves;574580-Dark%20elves;2021-08-01}

{0.05;Dark World 4;420360-Dark%20World%204;2021-08-01}

{0.04;Darmek;391660-Darmek;2021-08-01}

{0.04;Darrem;402220-Darrem;2021-08-01}

{0.05;David;387010-David;2021-08-01}

{0.04;Daylight;385080-Daylight;2021-08-01}

{0.05;Deadly Dragon;504980-Deadly%20Dragon;2021-08-01}

{0.05;DECK #3;364690-DECK%20%233;2021-08-01}

{0.05;DECK #4;364690-DECK%20%234;2021-08-01}

{0.04;Dedication;274980-Dedication;2021-08-01}

{0.04;DEFCraft;312640-DEFCraft;2021-08-01}

{0.05;Defender;356420-Defender;2021-07-01}

{0.05;Defender;356420-Defender;2021-08-01}

{0.04;Defender of the princess;450190-Defender%20of%20the%20princess;2021-08-01}

{0.06;Demon;547090-Demon;2021-08-01}

{0.05;Demon skater (Trading Card);444520-Demon%20skater%20%28Trading%20Card%29;2021-07-27}

{0.03;Demons;286120-Demons;2021-07-27}

{0.05;Destroyer;356420-Destroyer;2021-07-27}

{0.06;Diagramming The Stars;594720-Diagramming%20The%20Stars;2021-07-27}

{0.04;Dictator;585360-Dictator;2021-07-27}

{0.05;Dinosaur Eggs;352220-Dinosaur%20Eggs;2021-07-27}

{0.05;Dinosaur King;574690-Dinosaur%20King;2021-07-27}

{0.05;Director Cannon;502150-Director%20Cannon;2021-07-27}

{0.05;Disaster;457710-Disaster;2021-07-27}

{0.05;DISINTEGRATR;431200-DISINTEGRATR;2021-07-27}

{0.05;Do I have time to catch those gems?;477290-Do%20I%20have%20time%20to%20catch%20those%20gems%3F;2021-07-27}

{0.05;Doc;636370-Doc;2021-07-27}

{0.04;Doc DuBrane;486150-Doc%20DuBrane;2021-07-27}

{0.05;Dog;600310-Dog;2021-07-27}

{0.04;Doggy Wants to Play!;399130-Doggy%20Wants%20to%20Play%21;2021-07-27}

{0.04;Doom card;501480-Doom%20card;2021-07-27}

{0.04;Door;547710-Door;2021-07-27}

{0.07;Dr. Science;574690-Dr.%20Science;2021-07-27}

{0.05;Dragons;352220-Dragons;2021-07-27}

{0.05;Dregs;384950-Dregs;2021-07-27}

{0.04;Dres;412170-Dres;2021-07-27}

{0.04;Drone;530020-Drone;2021-07-27}

{0.04;Drones;356420-Drones;2021-07-27}

{0.05;Druid;454870-Druid;2021-07-27}

{0.05;Dusk, the Blade Mistress;521330-Dusk%2C%20the%20Blade%20Mistress;2021-07-27}

{0.05;Dynamite (Trading Card);609100-Dynamite%20%28Trading%20Card%29;2021-07-27}

{0.04;Dynamite Girl;540860-Dynamite%20Girl;2021-07-27}

{0.04;ED Tank2;253880-ED%20Tank2;2021-07-27}

{0.06;Eight Form;521630-Eight%20Form;2021-07-27}

{0.05;Elderly water carrier;490690-Elderly%20water%20carrier;2021-07-27}

{0.05;Eleazar (Trading Card);387010-Eleazar%20%28Trading%20Card%29;2021-07-27}

{0.05;Elisa;402220-Elisa;2021-07-27}

{0.05;Elizabeth (Trading Card);585360-Elizabeth%20%28Trading%20Card%29;2021-07-27}

{0.05;Elks;338120-Elks;2021-07-27}

{0.06;Emperor;415840-Emperor;2021-07-27}

{0.05;Enabler;381220-Enabler;2021-07-27}

{0.04;Enginner;383230-Enginner;2021-07-27}

{0.05;Epic Hyperfoil Narwowlbear;592200-Epic%20Hyperfoil%20Narwowlbear;2021-07-27}

{0.05;Escape;417480-Escape;2021-07-27}

{0.04;Escape close-up (Trading Card);375120-Escape%20close-up%20%28Trading%20Card%29;2021-07-27}

{0.04;Esther;340650-Esther;2021-07-27}

{0.06;Eulan;616030-Eulan;2021-07-27}

{0.04;Evening for books;513570-Evening%20for%20books;2021-07-27}

{0.04;Evil card;501480-Evil%20card;2021-07-27}

{0.03;Evil Tree;340830-Evil%20Tree;2021-07-27}

{0.05;Exception Ship;619890-Exception%20Ship;2021-07-27}

{0.04;FABCraft;312640-FABCraft;2021-07-27}

{0.04;FaceBox;486150-FaceBox;2021-07-27}

{0.05;Falling;348870-Falling;2021-07-27}

{0.04;Female Hero;548480-Female%20Hero;2021-07-27}

{0.04;Female Pyro;548480-Female%20Pyro;2021-07-27}

{0.03;Female Soldier;548480-Female%20Soldier;2021-07-27}

{0.05;Feuer;384950-Feuer;2021-07-27}

{0.04;Fight Mode;614030-Fight%20Mode;2021-07-27}

{0.04;Fire Hydrant;595780-Fire%20Hydrant;2021-07-27}

{0.05;Fire Sprite;548680-Fire%20Sprite;2021-07-27}

{0.04;Fire-breathing monster;450190-Fire-breathing%20monster;2021-07-27}

{0.04;Firearm (Trading Card);385080-Firearm%20%28Trading%20Card%29;2021-07-27}

{0.04;First Troubles;370050-First%20Troubles;2021-07-27}

{0.05;Fishing Boat;342970-Fishing%20Boat;2021-07-27}

{0.04;Flashlight;462400-Flashlight;2021-07-27}

{0.04;Flat Castle;405970-Flat%20Castle;2021-07-27}

{0.05;Flatlantis;405970-Flatlantis;2021-07-27}

{0.04;Flatsgard;405970-Flatsgard;2021-07-27}

{0.04;Flee;620310-Flee;2021-07-27}

{0.05;Flesh Parasite;407880-Flesh%20Parasite;2021-07-27}

{0.05;Fleshling;384950-Fleshling;2021-07-27}

{0.04;Flix (Trading Card);371390-Flix%20%28Trading%20Card%29;2021-07-27}

{0.05;FLOWR;431200-FLOWR;2021-07-27}

{0.04;Flying Dragon;540860-Flying%20Dragon;2021-07-27}

{0.05;Following the darling even to the ends of the earth;431260-Following%20the%20darling%20even%20to%20the%20ends%20of%20the%20earth;2021-07-27}

{0.06;Food Kit;620310-Food%20Kit;2021-07-27}

{0.04;Football Player;548480-Football%20Player;2021-07-27}

{0.05;Forest;513340-Forest;2021-07-27}

{0.05;Forever Alone;485870-Forever%20Alone;2021-07-27}

{0.05;Forever lost;604830-Forever%20lost;2021-07-27}

{0.04;Fork;363620-Fork;2021-07-27}

{0.04;Fortune card;501480-Fortune%20card;2021-07-27}

{0.04;Fracture;284990-Fracture;2021-07-27}

{0.04;Frank;449530-Frank;2021-07-27}

{0.05;Freak of Nature;287200-Freak%20of%20Nature;2021-07-27}

{0.03;Frederick Emenegger;374030-Frederick%20Emenegger;2021-07-27}

{0.05;Friggin' George Washington;592200-Friggin%27%20George%20Washington;2021-07-27}

{0.05;Gallina Vecchia;416350-Gallina%20Vecchia;2021-07-27}

{0.04;Gandohar;7530-Gandohar;2021-07-27}

{0.05;Gardener;568860-Gardener;2021-07-27}

{0.05;Gary;574690-Gary;2021-07-27}

{0.04;Gauss;614660-Gauss;2021-07-27}

{0.04;Gearbolt Giant;341160-Gearbolt%20Giant;2021-07-27}

{0.06;Gem Blender;385410-Gem%20Blender;2021-07-27}

{0.05;Genie;417480-Genie;2021-07-27}

{0.04;Germ;384250-Germ;2021-07-27}

{0.04;Get Down;513570-Get%20Down;2021-07-27}

{0.04;Ghost family;416370-Ghost%20family;2021-07-27}

{0.05;Ghostbusters;417480-Ghostbusters;2021-07-27}

{0.05;Giant;371460-Giant;2021-07-01}

{0.05;Giant;371460-Giant;2021-07-27}

{0.04;Girl Werewolf Hamlet;592200-Girl%20Werewolf%20Hamlet;2021-07-27}

{0.05;GlamBox;486150-GlamBox;2021-07-27}

{0.05;Gnome Chomspky;486150-Gnome%20Chomspky;2021-07-27}

{0.05;goblins reputation card;463670-goblins%20reputation%20card;2021-07-27}

{0.05;Goldfish;576390-Goldfish;2021-07-27}

{0.05;Golem;454870-Golem;2021-07-27}

{0.05;Goliath;387010-Goliath;2021-07-27}

{0.05;Goliath (Trading Card);347160-Goliath%20%28Trading%20Card%29;2021-07-27}

{0.03;Goon;595780-Goon;2021-07-01}

{0.04;Goon;595780-Goon;2021-07-27}

{0.05;Grandpa Crank;418440-Grandpa%20Crank;2021-07-27}

{0.04;Green;461880-Green;2021-07-27}

{0.04;Green card;501480-Green%20card;2021-07-27}

{0.04;Gun Robot;463000-Gun%20Robot;2021-07-27}

{0.04;Gwydion;485390-Gwydion;2021-07-27}

{0.04;Hammer;614660-Hammer;2021-07-27}

{0.04;Hammer Vipkrad;417480-Hammer%20Vipkrad;2021-07-27}

{0.05;Hanged;417480-Hanged;2021-07-27}

{0.04;Harpy;399000-Harpy;2021-07-27}

{0.04;Harry Branden;374030-Harry%20Branden;2021-07-27}

{0.05;Hat Hunter Prime;612250-Hat%20Hunter%20Prime;2021-07-27}

{0.04;Hero;222160-Hero;2021-07-27}

{0.04;Hiroshima Castle;284950-Hiroshima%20Castle;2021-07-27}

{0.04;Homeless Joe;595460-Homeless%20Joe;2021-07-27}

{0.04;Homo sapiens novus;266050-Homo%20sapiens%20novus;2021-07-27}

{0.04;Honkotron;584860-Honkotron;2021-07-27}

{0.05;Hospital;502100-Hospital;2021-07-27}

{0.04;House of Thousand Floors;513340-House%20of%20Thousand%20Floors;2021-07-27}

{0.04;I Will Cut You in the Leg;399130-I%20Will%20Cut%20You%20in%20the%20Leg;2021-07-27}

{0.05;Ice;614660-Ice;2021-07-01}

{0.05;Ice;614660-Ice;2021-07-27}

{0.04;Ice Girl;463000-Ice%20Girl;2021-07-27}

{0.04;Ice Ice Babe;540860-Ice%20Ice%20Babe;2021-07-27}

{0.05;Ice spikes;614660-Ice%20spikes;2021-07-27}

{0.05;Ice Troll (Trading Card);371460-Ice%20Troll%20%28Trading%20Card%29;2021-07-27}

{0.04;Ice-Cream Skating;477290-Ice-Cream%20Skating;2021-07-27}

{0.04;Icicle Land;290650-Icicle%20Land;2021-07-27}

{0.05;Ifrit (Trading Card);371460-Ifrit%20%28Trading%20Card%29;2021-07-27}

{0.05;Illustration Sketch (Trading Card);477290-Illustration%20Sketch%20%28Trading%20Card%29;2021-07-27}

{0.05;Imp;600310-Imp;2021-07-27}

{0.05;Imperial Deadshots;508300-Imperial%20Deadshots;2021-07-27}

{0.04;Indestructible Manta;612250-Indestructible%20Manta;2021-07-27}

{0.05;Injured Guy;477290-Injured%20Guy;2021-07-27}

{0.05;Invader lion 2;448690-Invader%20lion%202;2021-07-27}

{0.04;Inventors District;398830-Inventors%20District;2021-07-27}

{0.04;Investigation;546700-Investigation;2021-07-27}

{0.06;Iraplish the Trader;610310-Iraplish%20the%20Trader;2021-07-27}

{0.05;Iris;409450-Iris;2021-07-27}

{0.06;Iron_Ax;575770-Iron_Ax;2021-07-27}

{0.05;Isen the fair;517370-Isen%20the%20fair;2021-07-27}

{0.05;Israelite;387010-Israelite;2021-07-27}

{0.05;Ixya;616030-Ixya;2021-07-27}

{0.05;Jake;609100-Jake;2021-07-27}

{0.04;January;587390-January;2021-07-27}

{0.04;Jared Fairfax;374030-Jared%20Fairfax;2021-07-27}

{0.05;Jashobeam (Trading Card);387010-Jashobeam%20%28Trading%20Card%29;2021-07-27}

{0.04;Jasmine and Jake;595460-Jasmine%20and%20Jake;2021-07-27}

{0.05;Jason and Marta;595460-Jason%20and%20Marta;2021-07-27}

{0.05;Jaws;429220-Jaws;2021-07-27}

{0.05;Jeff;595460-Jeff;2021-07-27}

{0.05;Jenny;344850-Jenny;2021-07-27}

{0.04;Jerry Crane;416370-Jerry%20Crane;2021-07-27}

{0.04;Jin;485390-Jin;2021-07-27}

{0.04;John Walters;568860-John%20Walters;2021-07-27}

{0.04;Judith Ortega;374030-Judith%20Ortega;2021-07-27}

{0.05;July;587390-July;2021-07-27}

{0.04;Justin Aldridge;431260-Justin%20Aldridge;2021-07-27}

{0.04;K.O.R.B.;634200-K.O.R.B.;2021-07-27}

{0.05;Kallyr the Hero;352220-Kallyr%20the%20Hero;2021-07-27}

{0.05;Karmodius;338120-Karmodius;2021-07-27}

{0.03;Kautic;600530-Kautic;2021-07-27}

{0.05;Keeper reputation card;463670-Keeper%20reputation%20card;2021-07-27}

{0.04;Ken;461760-Ken;2021-07-27}

{0.04;Kidnapping (Trading Card);576130-Kidnapping%20%28Trading%20Card%29;2021-07-27}

{0.05;King;588490-King;2021-07-27}

{0.04;King Midas;400180-King%20Midas;2021-07-27}

{0.05;Kingsen;581200-Kingsen;2021-07-27}

{0.05;Kiriro;616030-Kiriro;2021-07-27}

{0.05;Klaus;449530-Klaus;2021-07-27}

{0.05;Knight Tournament;215790-Knight%20Tournament;2021-07-27}

{0.05;Knockout;454080-Knockout;2021-07-27}

{0.05;Korol the Bard;352220-Korol%20the%20Bard;2021-07-27}

{0.04;Krandar;643880-Krandar;2021-07-27}

{0.05;Kumiko;520520-Kumiko;2021-07-27}

{0.05;Kyle Yang (Trading Card);542200-Kyle%20Yang%20%28Trading%20Card%29;2021-07-27}

{0.03;Lamboolio;581200-Lamboolio;2021-07-27}

{0.05;Lamentina;616030-Lamentina;2021-07-27}

{0.04;Larry;584860-Larry;2021-07-27}

{0.05;Laser Ship;411120-Laser%20Ship;2021-07-27}

{0.06;Last steamship;348870-Last%20steamship;2021-07-27}

{0.04;Led;253940-Led;2021-07-27}

{0.04;Lee Petty;402590-Lee%20Petty;2021-07-27}

{0.04;LEONARD;606730-LEONARD;2021-07-27}

{0.03;Leonard Kalberman;374030-Leonard%20Kalberman;2021-07-27}

{0.04;Leonidas;400180-Leonidas;2021-07-27}

{0.04;Let's Fight!;402220-Let%27s%20Fight%21;2021-07-27}

{0.04;Level 25;334300-Level%2025;2021-07-27}

